[2025-02-12 09:25:04] [ERROR] SQLSTATE[42601]: Syntax error: 7 ERROR:  syntax error at or near "count"
LINE 1: count(*) as count from events where status = 'en attente'
        ^ {"file":"\/var\/www\/html\/collab\/app\/Models\/Event.php","line":180,"trace":"#0 \/var\/www\/html\/collab\/app\/Models\/Event.php(180): PDOStatement->execute()\n#1 \/var\/www\/html\/collab\/app\/Controllers\/DashboardController.php(44): App\\Models\\Event::getPendingEvent()\n#2 \/var\/www\/html\/collab\/app\/Controllers\/DashboardController.php(63): App\\Controllers\\DashboardController->PendingEvent()\n#3 \/var\/www\/html\/collab\/app\/Core\/Router.php(84): App\\Controllers\\DashboardController->dashboard()\n#4 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#5 {main}"}
[2025-02-12 09:33:38] [ERROR] Cannot use "extend" in a block. {"file":"\/var\/www\/html\/collab\/app\/views\/Admin\/index.twig","line":6,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(171): Twig\\TokenParser\\ExtendsTokenParser->parse()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/TokenParser\/BlockTokenParser.php(47): Twig\\Parser->subparse()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(171): Twig\\TokenParser\\BlockTokenParser->parse()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(84): Twig\\Parser->subparse()\n#4 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(479): Twig\\Parser->parse()\n#5 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(507): Twig\\Environment->parse()\n#6 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(348): Twig\\Environment->compileSource()\n#7 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->loadTemplate()\n#8 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#9 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#10 \/var\/www\/html\/collab\/app\/Controllers\/DashboardController.php(65): App\\Core\\Controller->render()\n#11 \/var\/www\/html\/collab\/app\/Core\/Router.php(84): App\\Controllers\\DashboardController->dashboard()\n#12 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#13 {main}"}
[2025-02-12 09:33:57] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 09:35:01] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 09:35:08] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 11:21:00] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 11:21:19] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 11:37:34] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 11:38:11] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 11:43:17] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 11:45:11] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
